OBJECTID,Site_Description,Date_Sample_Collected,Result_Name,Result_Label
283,Mundoo Barrage Downstream,5/09/2025,Karenia sp.,"1,760 Cells/L"
284,Mundoo Barrage Downstream,5/09/2025,Katodinium sp.,0 Cells/L
285,Mundoo Barrage Downstream,17/09/2025,Karenia sp.,0 Cells/L
286,Mundoo Barrage Downstream,17/09/2025,Katodinium sp.,0 Cells/L
287,Mundoo Barrage Downstream,18/09/2025,Karenia sp.,0 Cells/L
288,Mundoo Barrage Downstream,18/09/2025,Katodinium sp.,0 Cells/L
289,Mundoo Barrage Downstream,10/03/2026,Pseudo-nitzschia,0 Cells/L
290,Parnka Point Boat Ramp,26/06/2025,Algae - Total,"6,140,000,000 Cells/L"
291,Mundoo Barrage Downstream,10/03/2026,Alexandrium catenella,0 Cells/L
292,Mundoo Barrage Downstream,10/03/2026,Alexandrium cysts,0 Cells/L
293,Mundoo Barrage Downstream,10/03/2026,Alexandrium margalefi,0 Cells/L
294,Mundoo Barrage Downstream,10/03/2026,Alexandrium minutum,0 Cells/L
295,Mundoo Barrage Downstream,10/03/2026,Alexandrium ostenfeldii,0 Cells/L
296,Mundoo Barrage Downstream,10/03/2026,Alexandrium sp.,0 Cells/L
297,Mundoo Barrage Downstream,10/03/2026,Alexandrium tamarense,0 Cells/L
298,Mundoo Barrage Downstream,10/03/2026,Dinophysis acuminata,0 Cells/L
299,Mundoo Barrage Downstream,10/03/2026,Dinophysis acuta,0 Cells/L
300,Mundoo Barrage Downstream,10/03/2026,Dinophysis caudata,0 Cells/L
301,Mundoo Barrage Downstream,10/03/2026,Gymnodinium catenatum,0 Cells/L
302,Mundoo Barrage Downstream,10/03/2026,Karenia sp.,0 Cells/L
303,Mundoo Barrage Downstream,10/03/2026,Karlodinium sp.,0 Cells/L
304,Mundoo Barrage Downstream,10/03/2026,Prorocentrum lima,0 Cells/L
305,Mundoo Barrage Downstream,22/01/2026,Pseudo-nitzschia,0 Cells/L
306,Mundoo Barrage Downstream,22/01/2026,Alexandrium catenella,0 Cells/L
307,Mundoo Barrage Downstream,22/01/2026,Alexandrium cysts,0 Cells/L
308,Mundoo Barrage Downstream,22/01/2026,Alexandrium margalefi,0 Cells/L
309,Mundoo Barrage Downstream,22/01/2026,Alexandrium minutum,0 Cells/L
310,Mundoo Barrage Downstream,22/01/2026,Alexandrium ostenfeldii,0 Cells/L
311,Mundoo Barrage Downstream,22/01/2026,Alexandrium sp.,0 Cells/L
312,Mundoo Barrage Downstream,22/01/2026,Alexandrium tamarense,0 Cells/L
